1,Tarjeta,1234567890123456,,200,2024-05-20,10:00:00
2,Pago Efectivo,,DEF456,500,2024-05-21,11:30:00
3,Tarjeta,2468135790246813,,100,2024-05-22,12:45:00
4,Pago Efectivo,,JKL987,300,2024-05-23,14:00:00
5,Tarjeta,6543219870654321,,150,2024-05-24,15:30:00
6,Pago Efectivo,,PQR321,400,2024-05-25,17:00:00
7,Tarjeta,5824691380582469,,250,2024-05-26,18:30:00
8,Pago Efectivo,,VWX654,700,2024-05-27,20:00:00
9,Tarjeta,1234567890123456,,350,2024-05-28,21:30:00
10,Pago Efectivo,,BBB789,600,2024-05-29,22:45:00
